skin_decision;Flay [Root.GetTitledFirstName] Alive;Écorcher le prisonnier;;;Despellejar a [Root.GetTitledFirstName] vivo.;;;;;;;;;x
EVTDESC50039;The Black Goat is a dark and terrible deity. [FromFrom.GetTitledFirstName], a pious man, has decreed your blood is to be spilled as a sacrifice to the Black Goat.  You are dragged into the temple and placed on the bloodstained altar where your throat is slit.;La Chèvre Noire est une sombre et terrible divinité. [FromFrom.GetTitledFirstName], un homme pieux, a décidé que votre sang serait versé en sacrifice à la Chèvre Noire. Vous êtes emmené jusqu'au temple et au sanglant autel où on vous tranche la gorge.;;;La Cabra Negra es una deidad oscura y terrible. [FromFrom.GetTitledFirstName], un hombre piadoso, ha decretado que tu sangre debe ser derramada como sacrificio a la Cabra Negra. Te arrastran hacia el templo y te colocan en un altar manchado de sangre donde te corta la garganta.;;;;;;;;;x
EVTOPTA50039;I have been sacrificed!;J'ai été sacrifié(e) !;;;He sido sacrificado!;;;;;;;;;x
hyrkoon_sacrifice_decision;Sacrifice to the Gods;Sacrifier aux Dieux;;;Sacrificio a los Dioses;;;;;;;;;x
hyrkoon_sacrifice_decision_desc;If we are to execute [Root.GetBestName], we should do so as an offering to the Gods.;Si nous voulons exécuter [Root.GetBestName], nous pourrions le faire en tant qu'offrande aux dieux.;;;Si vamos a ejecutar a [Root.GetBestName], deberíamos hacerlo como una ofrenda a los Dioses.;;;;;;;;;x
EVTDESC50058;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] is brought before you for [FromFrom.GetHerHis] execution, and you proceed to strangle [FromFrom.GetHerHim] to death with your bare hands.;[From.GetTitledFirstName] [From.GetOnlyDynastyName] est amené devant vous pour être exécuté, peut-être devriez-vous l'étrangler de vos propres mains ? ;;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] es traído ante ti para su ejecución, tal vez debería estrangularlo con mis propias manos?;;;;;;;;;x
EVTDESC50058B;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] is brought before you for [FromFrom.GetHerHis] execution. [FromFrom.GetHerHisCap] mother [FromFrom.Mother.GetTitledFirstName] is here as well, so that you can make her watch as you strangle her [FromFrom.GetSonDaughter] to death with your bare hands.;[From.GetTitledFirstName] [From.GetOnlyDynastyName] est amené devant vous pour être exécuté, peut-être devriez-vous également faire venir sa mère [From.Mother.GetTitledFirstName], pour qu'elle puisse vous regarder l'étrangler ?;;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] es traído ante ti para su ejecución. Tal vez debería traer a su madre [From.Mother.GetTitledFirstName] para que observe como estrangulo a su hijo con mis propias manos?;;;;;;;;;x
EVTDESC50058C;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] is brought before you for [FromFrom.GetHerHis] execution. [FromFrom.GetHerHisCap] father [FromFrom.Father.GetTitledFirstName] is here as well, so that you can make her watch as you strangle his [FromFrom.GetSonDaughter] to death with your bare hands.;[From.GetTitledFirstName] [From.GetOnlyDynastyName] est amené devant vous pour être exécuté, peut-être devriez-vous également faire venir son père [From.Father.GetTitledFirstName] pour qu'il puisse vous regarder l'étrangler ?;;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] es traído ante ti para su ejecución. Tal vez debería traer a su padre [From.Father.GetTitledFirstName] para que pueda ver como estrangulo a su hijo con mis propias manos?;;;;;;;;;x
EVTDESC50058D;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] is brought before you for [FromFrom.GetHerHis] execution. [FromFrom.GetHerHisCap] children are here as well, so that you can make them watch as you strangle their [FromFrom.GetFatherMother] to death with your bare hands.;[From.GetTitledFirstName] [From.GetOnlyDynastyName] est amené devant vous pour être exécuté, peut-être devriez-vous également faire venir ses enfants pour qu'ils puissent vous regarder l'étrangler ?;;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] es traído ante ti para su ejecución. Tal vez debería traer a sus hijos para que me vean estrangular a su padre con mis propias manos?;;;;;;;;;x
EVTOPTA50058;Yes, I shall squeeze the life from [FromFrom.GetHerHim]!;Oui, je vais lui prendre la vie !;;;Sí, estrujaré su vida!;;;;;;;;;x
EVTOPTB50058;That is a barbaric notion;Voilà qui est bien barbare.;;;Esa es una idea bárbara;;;;;;;;;x
EVTDESC50059;[From.GetTitledFirstName] [From.GetOnlyDynastyName] has had your [GetFromFromRelation] [FromFrom.GetTitledFirstName] executed. You are made to watch as [From.GetSheHe] strangles poor [FromFrom.GetFirstName] to death with [From.GetHerHis] bare hands.;[From.GetTitledFirstName] [From.GetOnlyDynastyName] a fait exécuter votre [GetFromFromRelation] [FromFrom.GetTitledFirstName]. On vous a forcé à regarder tandis qu'[From.GetSheHe] étranglait le(a) pauvre [FromFrom.GetFirstName].;;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] ha ejecutado a tu [GetFromFromRelation] [FromFrom.GetTitledFirstName]. Te hace ver como estrangula a [FromFrom.GetFirstName] con sus manos desnudas.;;;;;;;;;x
EVTOPTA50059;This is barbaric!;Quelle barbarie !;;;Esto es una barbarie!;;;;;;;;;x
death_eaten;Cannibalised;Mangé par des cannibales;;;;;;;;;;;;x
death_eaten_desc;This character was put to death and then eaten by his cannibal killers for their supper.;Ce personnage a été mis à mort puis mangé par ses assassins cannibales à leur souper.;;;;;;;;;;;;x
EVTDESCwildling.66;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] is ritually slain, and then roasted over a fire so [FromFrom.GetSheHe] can be eaten with your fellow clansmen!;Voulez-vous exécuter ce(tte) prisonnier(e), puis vous régaler de ses restes avec ceux de votre clan ?;;;;;;;;;;;;x
EVTDESCwildling.66B;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] is ritually slain, and then you proceed to gorge on [FromFrom.GetherHis] remains! You will have enough raw meat to last many days!;Voulez-vous exécuter ce(tte) prisonnier(e), puis vous régaler de ses restes ?;;;;;;;;;;;;x
EVTOPTAwildling.66;A [FromFrom.Culture.GetName] will be delicious!;Oui, un [From.Culture.GetName] serait délicieux !;;;;;;;;;;;;x
EVTDESCwildling.67;[From.GetTitledFirstName] comes to your cell and brings you to be excuted, along the way informing how [From.GetSheHe] and the rest of [From.GetHerHis] clan will cook up and feast on your remains for their supper...;[From.GetTitledFirstName] se rend à votre cellule et vous emmène pour être exécuté(e), en vous racontant le long du chemin comment, avec ceux de son clan, l'on va vous faire cuire et festoyer de vos restes pour leur souper …;;;;;;;;;;;;x
EVTOPTAwildling.67;How demeaning...;Quel avilissement !;;;;;;;;;;;;x
EVTOPTBwildling.67;Who cares... I'll be dead anyway...;Quelle importance…  Je serai mort(e) de toute façon...;;;;;;;;;;;;x
EVTDESCwildling.68;[From.GetTitledFirstName] and [From.GetHerHis] clansmen have executed your [GetFromFromRelation] and then feasted on [FromFrom.GetHerHis] remains for their supper...;[From.GetTitledFirstName] et son clan ont exécuté votre [GetFromFromRelation] et festoyé avec ses restes pour leur souper...;;;;;;;;;;;;x
EVTOPTAwildling.68;How disgusting!;Quelle horreur!;;;;;;;;;;;;x
DEATH_BATTLE_RAIDING;gloriously died in battle whilst raiding by $KILLER$;est mort glorieusement au combat lors d'un raid mené par $KILLER$;;;;;;;;;;;;x
DEATH_BATTLE_RAIDING_NO_KILLER;gloriously died in battle whilst raiding;mort glorieusement au combat lors d'un raid;;;;;;;;;;;;x
DEATH_TOURNEY_JOUST;was unfortunately killed in a tourney joust by $KILLER$;a été malheureusement tué(e) lors d'une joute dans un tournoi par $KILLER$;;;;;;;;;;;;x
DEATH_TOURNEY_JOUST_NO_KILLER;was unfortunately killed in a tourney joust;a été malheureusement tué(e) lors d'une joute dans un tournoi;;;;;;;;;;;;x
DEATH_BANDITS;was killed by bandits;a été tué(e) par des bandits;;;;;;;;;;;;x
DEATH_STILLBORN;died stillborn;était mort-né(e);;;;;;;;;;;;x
DEATH_SOLD_SLAVE;was sold to an unknown slave trader;a été vendu(e) à un marchand d'esclave inconnu;;;;;;;;;;;;x
DEATH_DRAGON;was killed by the dragon $KILLER$;a été tué(e) par le dragon $KILLER$;;;;;;;;;;;;x
DEATH_DRAGON_NO_KILLER;was killed by a dragon;a été tué(e) par un dragon;;;;;;;;;;;;x
DEATH_BATTLE_DRAGON_FIRE;was killed by $KILLER$'s dragon;a été tué(e) par le dragon de $KILLER$;;;;;;;;;;;;x
DEATH_BATTLE_DRAGON_FIRE_NO_KILLER;was killed by a dragon rider;a été tué(e) par un chevaucheur de dragon;;;;;;;;;;;;x
DEATH_DRAGON_DUEL;was killed by $KILLER$ in an epic dragon duel;a été tué(e) par $KILLER$ dans un duel de dragons épique;;;;;;;;;;;;x
DEATH_DRAGON_DUEL_NO_KILLER;was killed in an epic dragon duel;a été tué(e) dans un duel de dragons épique;;;;;;;;;;;;x
DEATH_ACCIDENT_FACELESS;died in an unusual accident;est décédé(e) dans un accident inhabituel;;;;;;;;;;;;x
DEATH_ACCIDENT_FACELESS_NO_KILLER;died in an unusual accident;est décédé(e) dans un accident inhabituel;;;;;;;;;;;;x
DEATH_ACCIDENT_HORSE;was tragically trampled to death by a horse;a été tragiquement et mortellement piétiné(e) par un cheval;;;;;;;;;;;;x
DEATH_ACCIDENT_DRAGON_HATCHING;was burnt to death during $KILLER$'s attempt to hatch a dragon egg;a été brûlé(e) mortellement pendant la tentative de $KILLER$ pour faire éclore un oeuf de dragon;;;;;;;;;;;;x
DEATH_ACCIDENT_DRAGON_HATCHING_NO_KILLER;was burnt to death attempting to hatch a dragon egg;a été brûlé(e) mortellement en essayant de faire éclore un oeuf de dragon;;;;;;;;;;;;x
DEATH_ACCIDENT_HUNTING;died in a hunting accident;est mort(e) dans un accident de chasse;;;;;;;;;;;;x
DEATH_ACCIDENT_WILDFIRE;was burnt to death in a wildfire accident;a été brûlé(e) mortellement par du feu grégeois;;;;;;;;;;;;x
DEATH_ACCIDENT_IRON_THRONE;was accidentally killed whilst sitting on the Iron Throne;a été tué(e) accidentellement pendant qu'il siégeait sur le trône de fer;;;;;;;;;;;;x
DEATH_ACCIDENT_WYVERN;was mauled to death by a wild wyvern;a été mis(e) en pièce par une vouivre sauvage;;;;;;;;;;;;x
DEATH_MURDER_SLAYED;was slayed in cold blood by $KILLER$;a été abattu(e) de sang froid par $KILLER$;;;;;;;;;;;;x
DEATH_MURDER_SLAYED_NO_KILLER;was slayed in cold blood;a été abattu(e) de sang froid;;;;;;;;;;;;x
DEATH_MURDER_SLAYED_UNKNOWN;was slayed in cold blood by an unknown assailant;a été abattu(e) de sang froid par un assaillant inconnu;;;;;;;;;;;;x
DEATH_MURDER_SLAYED_UNKNOWN_NO_KILLER;was slayed in cold blood by an unknown assailant;a été abattu(e) de sang froid par un assaillant inconnu;;;;;;;;;;;;x
DEATH_MURDER_SHADOW;was slayed by a dark shadow on the orders of $KILLER$;a été abattu(e) par une ombre noire aux ordres de $KILLER$;;;;;;;;;;;;x
DEATH_MURDER_SHADOW_NO_KILLER;was slayed by a dark shadow;a été abattu(e) par une ombre noire;;;;;;;;;;;;x
DEATH_MURDER_SHADOW_UNKNOWN;was murdered in mysterious circumstances;a été assassiné(e) dans de mystérieuses circonstances;;;;;;;;;;;;x
DEATH_MURDER_SHADOW_UNKNOWN_NO_KILLER;was murdered in mysterious circumstances;a été assassiné(e) dans de mystérieuses circonstances;;;;;;;;;;;;x
DEATH_SUICIDE_DRANK_WILDFIRE;died after drinking wildfire;est mort(e) après avoir bu du feu grégeois ;;;;;;;;;;;;x
DEATH_SACRIFICED_ABANDONED;was abandoned to die by $KILLER$;a été abandonné(e) pour mourir par $KILLER$;;;;;;;;;;;;x
DEATH_SACRIFICED_ABANDONED_NO_KILLER;was abandoned to die;a été abandonné(e) pour mourir;;;;;;;;;;;;x
DEATH_SACRIFICED_RHLLOR;was burnt alive as an offering to R'hllor by $KILLER$;a été brulé(e) vivant(e) en offande à R'hllor par $KILLER$;;;;;;;;;;;;x
DEATH_SACRIFICED_RHLLOR_NO_KILLER;was burnt alive as an offering to R'hllor;a été brulé(e) vivant(e) en offande à R'hllor;;;;;;;;;;;;x
DEATH_EXECUTION_DOTHRAKI_MUTILATION;was mutilated, emasculated and then burnt to death on the orders of $KILLER$;a été mutilé(e), châtré(e) (sic) puis mortellement brulé(e) sur les ordres de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_DOTHRAKI_MUTILATION_NO_KILLER;was mutilated, emasculated and then burnt to death;a été mutilé(e), châtré(e) (sic) puis mortellementbrulé(e);;;;;;;;;;;;x
DEATH_EXECUTION_DRAGON;was fed to $KILLER$'s dragon;a été donné(e) en pâture au dragon de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_DRAGON_NO_KILLER;was fed to a dragon;a été donné(e) en pâture à un dragon;;;;;;;;;;;;x
DEATH_EXECUTION_TORTURE;was tortured to death on the orders of $KILLER$;a été torturé(e) à mort sur les ordres de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_TORTURE_NO_KILLER;was tortured to death;a été torturé(e) à mort;;;;;;;;;;;;x
DEATH_SACRIFICED_DROWNED;was drowned as a sacrifice to the Drowned God by $KILLER$;a été noyé(e) en sacrifice au dieu Noyé par $KILLER$;;;;;;;;;;;;x
DEATH_SACRIFICED_DROWNED_NO_KILLER;was drowned as a sacrifice to the Drowned God;a été noyé(e) en sacrifice au dieu Noyé;;;;;;;;;;;;x
DEATH_EXECUTION_MOON_DOOR;was thrown out of the Moon Door on the orders of $KILLER$;a été précipité(e) par la porte de la Lune sur les ordres de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_MOON_DOOR_NO_KILLER;was thrown out of the Moon Door;a été précipité(e) par la porte de la Lune;;;;;;;;;;;;x
DEATH_EXECUTION_SNU_SNU;was killed by snu snu on the orders of $KILLER$;a été tué(e) par abus sexuels sur les ordres de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_SNU_SNU_NO_KILLER;was killed by snu snu;a été tué(e) par abus sexuels;;;;;;;;;;;;x
DEATH_EXECUTION_STRANGLE;was strangled to death by $KILLER$;a été étranglé(e) mortellement par $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_STRANGLE_NO_KILLER;was strangled to death;a été étranglé(e) jusqu'à ce que mort s'en suive;;;;;;;;;;;;x
DEATH_SICKLY_DRAGON;died sick and misshapen;est mort(e) malade et malformé(e);;;;;;;;;;;;x
DEATH_SICKLY;died a sickly infant;est mort(e) de maladie infantile;;;;;;;;;;;;x
execute_decision;Execute Imprisoned;Exécute un(e) prisonnier(e);;;;;;;;;;;;x
execute_decision_desc;Have [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] executed;A exécuté [Root.GetTitledFirstName] [Root.GetOnlyDynastyName];;;;;;;;;;;;x
TOOLTIP_EXECUTION_REALM_UPSET;This will upset rulers in [From.TopLiege.PrimaryTitle.GetName]\n;Cela affectera les dirigeants de [From.TopLiege.PrimaryTitle.GetName]\n;;;;;;;;;;;;x
EVTDESCimprisoned.10;[Root.PrimaryTitle.GetFOA], [From.GetTitledFirstName] [From.GetOnlyDynastyName] has been brought from [From.GetHerHis] cell for execution. How shall [From.GetSheHe] be dispatched?;[Root.PrimaryTitle.GetFOA], [From.GetTitledFirstName] [From.GetOnlyDynastyName] a été sorti(e) de sa cellule pour être exécuté(e). Quel moyen sera-t-il employé ?;;;;;;;;;;;;x
EVTOPTAimprisoned.10;[From.GetSheHeCap] will be beheaded;[From.GetSheHeCap] sera décapité(e);;;;;;;;;;;;x
EVTOPTBimprisoned.10;Have [From.GetHerHim] hanged;Qu'on [From.GetHerHim] pende !;;;;;;;;;;;;x
EVTOPTCimprisoned.10;Burn [From.GetHerHim]!;Brûlez-[From.GetHerHim]!;;;;;;;;;;;;x
EVTOPTDimprisoned.10;[From.GetSheHeCap] will be a sacrifice to [Root.Religion.GetHighGodName];[From.GetSheHeCap] sera sacrifié(e) à [Root.Religion.GetHighGodName];;;;;;;;;;;;x
EVTOPTEimprisoned.10;I want this defeated opponent mutilated and burnt!;Je veux que cet adversaire vaincu(e) soit mutilé(e) et brulé(e) vif(ve).;;;;;;;;;;;;x
EVTOPTFimprisoned.10;Have [From.GetHerHim] flayed alive;Faites-[From.GetHerHim] écorcher vif.;;;;;;;;;;;;x
EVTOPTGimprisoned.10;Feed [From.GetHerHim] to my dragon;Donnez-[From.GetHerHim] en pâture à mon dragon;;;;;;;;;;;;x
EVTOPTHimprisoned.10;[From.GetSheHeCap] will make a good meal!;On en fera un bon repas !;;;;;;;;;;;;x
EVTOPTIimprisoned.10;I want to see [From.GetHerHim] fly!;Je veux [From.GetHerHim] voir voler !;;;;;;;;;;;;x
EVTOPTJimprisoned.10;Crucify [From.GetHerHim];Crucifiez-[From.GetHerHim];;;;;;;;;;;;x
EVTOPTKimprisoned.10;It will be death by snu snu!;Ce sera une exécution par sexe jusqu'à ce que mort s'ensuive !;;;;;;;;;;;;x
EVTOPTLimprisoned.10;I will personally strangle [From.GetHerHim] to death!;Je l'étranglerai moi-même jusqu'à la mort !;;;;;;;;;;;;x
EVTOPTMimprisoned.10;I want [From.GetHerHim] crushed to death!;Je [From.GetHerHim] veux écrabouillé(e) à mort !;;;;;;;;;;;;x
EVTOPTNimprisoned.10;Have [From.GetHerHim] buried in hot ash;L'enterrer dans des cendres brûlantes;;;;;;;;;;;;x
EVTOPTOimprisoned.10;[From.GetSheHeCap] will be hung, drawn and quartered;[From.GetSheHeCap] sera pendu(e), étiré(e) et écartelé(e);;;;;;;;;;;;x
EVTOPTPimprisoned.10;Put [From.GetHerHim] in the bear pit!;Jetez-[From.GetHerHim] dans la fosse aux ours !;;;;;;;;;;;;x
EVTOPTQimprisoned.10;Feed [From.GetHerHim] to the lions;Jetez-[From.GetHerHim] en pâture aux lions;;;;;;;;;;;;x
EVTOPTRimprisoned.10;Make [From.GetHerHim] suffer in the snake pit;Faites- [From.GetHerHim] souffrir dans la fosse aux serpents;;;;;;;;;;;;x
EVTOPTSimprisoned.10;Tear [From.GetHerHis] bowels out!;Arrachez-lui les entrailles !;;;;;;;;;;;;x
EVTOPTTimprisoned.10;Boil [From.GetHerHim] alive;Faites [From.GetHerHim] bouillir vivant(e);;;;;;;;;;;;x
EVTOPTUimprisoned.10;I know, saw [From.GetHerHim] in half!;Je sais, tronçonnez-[From.GetHerHim] en deux !;;;;;;;;;;;;x
EVTOPTVimprisoned.10;Let the hunt begin!;Et maintenant, que la chasse commence !;;;;;;;;;;;;x
EVTOPTWimprisoned.10;Bury [From.GetHerHim] alive;Enterrez-[From.GetHerHim] vivant(e) !;;;;;;;;;;;;x
EVTOPTXimprisoned.10;Wall [From.GetHerHim] up in a tomb;Emmurez-[From.GetHerHim] dans une tombe;;;;;;;;;;;;x
EVTOPTYimprisoned.10;Have [From.GetHerHim] drowned in a vat of wine;Noyez-[From.GetHerHim] dans une cuve de vin;;;;;;;;;;;;x
EVTOPTZimprisoned.10;Impale [From.GetHerHim] slowly;Empalez-[From.GetHerHim] lentement;;;;;;;;;;;;x
EVTOPTAAimprisoned.10;[From.GetSheHeCap] will make a feast for the tigers;[From.GetSheHeCap] fera un mets de fête pour les tigres;;;;;;;;;;;;x
EVTOPTABimprisoned.10;Trample [From.GetHerHim] with elephants!;Faites-[From.GetHerHim] piétiner par les éléphants !;;;;;;;;;;;;x
EVTOPTACimprisoned.10;Torture [From.GetHerHim] with bamboo;Torturez-[From.GetHerHim] avec des bambous;;;;;;;;;;;;x
EVTOPTADimprisoned.10;[Root.Religion.GetHighGodName] commands [From.GetSheHe] must be stoned;[Root.Religion.GetHighGodName] commande qu'[From.GetSheHe] soit lapidé(e) !;;;;;;;;;;;;x
EVTOPTAEimprisoned.10;Have [From.GetHerHim] carved into a blood eagle;découpez [From.GetHerHim] en aigle de sang;;;;;;;;;;;;x
EVTOPTAFimprisoned.10;[From.GetSheHeCap] will be trampled to death by horses;[From.GetSheHeCap] sera piétiné(e) à mort par des chevaux;;;;;;;;;;;;x
EVTOPTAGimprisoned.10;Break [From.GetHerHis] back;Brisez-lui le dos;;;;;;;;;;;;x
EVTOPTAHimprisoned.10;Break [From.GetHerHim] on the wheel;Brisez-[From.GetHerHim] sur la roue;;;;;;;;;;;;x
EVTOPTAIimprisoned.10;Have [From.GetHerHim] gored to death by boars;Faites-[From.GetHerHim] écorcher à mort par des sangliers;;;;;;;;;;;;x
EVTOPTAJimprisoned.10;My wolf will ravage [From.GetHerHim]!;Mon loup va [From.GetHerHim] ravager !;;;;;;;;;;;;x
EVTOPTAKimprisoned.10;My shadowcat will tear [From.GetHerHim] to pieces!;Mon lynx des fumées va l'écorcher !;;;;;;;;;;;;x
EVTOPTALimprisoned.10;My snowbear will make short work of [From.GetHerHim];Mon ours des neiges va [From.GetHerHim] mettre en pièces !;;;;;;;;;;;;x
EVTOPTAMimprisoned.10;Set my direwolf upon [From.GetHerHim]!;Envoyez mon loup-garou sur [From.GetHerHim] !;;;;;;;;;;;;x
EVTOPTANimprisoned.10;Maul [From.GetHerHim] to death with my bear!;Mon ours va l'écraser !;;;;;;;;;;;;x
EVTOPTAOimprisoned.10;Feed [From.GetHerHim] to my boar!;Mon loup va [From.GetHerHim] ravager !;;;;;;;;;;;;x
EVTOPTAPimprisoned.10;[From.GetSheHeCap] will make a meal for my dog!;Donnez [From.GetHerHim] à manger à mon sanglier !;;;;;;;;;;;;x
DEATH_EXECUTION_WOLF;was ravaged to death by $KILLER$'s wolf;a été tué(e) par un loup $TUEUR$;;;;;;;;;;;;x
DEATH_EXECUTION_WOLF_NO_KILLER;was ravaged to death by a wolf;a été tué(e) par un loup;;;;;;;;;;;;x
DEATH_EXECUTION_SHADOWCAT;was ravaged to death by $KILLER$'s shadowcat;a été tué(e) par un lynx des fumées $TUEUR$;;;;;;;;;;;;x
DEATH_EXECUTION_SHADOWCAT_NO_KILLER;was ravaged to death by a shadowcat;a été tué(e) par un a lynx des fumées;;;;;;;;;;;;x
DEATH_EXECUTION_SNOWBEAR;was mauled to death by $KILLER$'s snowbear;a été tué(e) par un ours des neiges $TUEUR$;;;;;;;;;;;;x
DEATH_EXECUTION_SNOWBEAR_NO_KILLER;was mauled to death by a snowbear;a été tué(e) par un ours des neiges;;;;;;;;;;;;x
DEATH_EXECUTION_DIREWOLF;was eaten alive by $KILLER$'s direwolf;a été dévoré(e) par un loup-garou $TUEUR$;;;;;;;;;;;;x
DEATH_EXECUTION_DIREWOLF_NO_KILLER;was eaten alive by a direwolf;a été dévoré(e) par un loup-garou $TUEUR$;;;;;;;;;;;;x
DEATH_EXECUTION_BROWNBEAR;was mauled to death by $KILLER$'s bear;a été tué(e) par un ours $TUEUR$;;;;;;;;;;;;x
DEATH_EXECUTION_BROWNBEAR_NO_KILLER;was mauled to death by a bear;a été tué(e) par un ours;;;;;;;;;;;;x
DEATH_EXECUTION_BOAR_TRAIT;was killed and eaten by $KILLER$'s boar;a été tué(e) et mangé(e) par un sanglier $TUEUR$;;;;;;;;;;;;x
DEATH_EXECUTION_BOAR_TRAIT_NO_KILLER;was killed and eaten by a boar;a été tué(e) et mangé(e) par un sanglier;;;;;;;;;;;;x
DEATH_EXECUTION_DOG;was killed and eaten by $KILLER$'s dog;a été tué(e) et mangé(e) par un chien $TUEUR$;;;;;;;;;;;;x
DEATH_EXECUTION_DOG_NO_KILLER;was killed and eaten by a dog;a été tué(e) et mangé(e) par un chien;;;;;;;;;;;;x
