#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
obj_become_regent_title;Become Regent;Devenir régent(e);;;Convertirse en Regente;;;;;;;;;x
obj_become_regent_desc;[This.GetTitledFirstName] desires to become the Regent of [This.GetPossPronoun] liege.;[This.GetTitledFirstName] désir devenir le(a) régent(e) de son(a) suzerain(e).;;;[This.GetTitledFirstName] desea convertirse en el regente de su Señor.;;;;;;;;;x
plot_replace_regent_title;Replace [Root.GetTitledFirstName] and become Regent;Remplacer [Root.GetTitledFirstName] et devenir régent(e);;;Reemplazar a [Root.GetTitledFirstName] y convertirse en Regente;;;;;;;;;x
plot_replace_regent_desc;[From.GetBestName] believes that [From.GetSheHe] would be a better ruler than [Root.PlotTarget.GetBestName], and so should be made [From.GetTitle] Regent of [From.Liege.PrimaryTitle.GetName];[From.GetBestName] pense qu'[From.GetSheHe] serait un(e) meilleur(e) dirigeant(e) que [Root.PlotTarget.GetBestName], et donc devrait être nommé(e) [From.GetTitle] régent de [From.Liege.PrimaryTitle.GetName];;;[From.GetBestName] piensa que sería mejor dirigente que [Root.PlotTarget.GetBestName], y por lo tanto debería ser nombrado [From.GetTitle] regente de [From.Liege.PrimaryTitle.GetName];;;;;;;;;x
plot_replace_regent_decision;Demand to be Made Regent;Exige d'être nommé régent(e);;;Exige ser nombrado regente;;;;;;;;;x
plot_replace_regent_decision_desc;The time has come to demand that [Root.Liege.GetTitle] [Root.Liege.GetFirstName] name you as [Root.Liege.GetHerHis] designated regent in place of [Root.PlotTarget.GetTitledFirstName].;Le temps est venu d'exiger de [Root.Liege.GetTitle] [Root.Liege.GetFirstName] qu'on vous nomme régent(e) désigné(e) à la place de [Root.PlotTarget.GetTitledFirstName].;;;Es el momento de pedir a [Root.Liege.GetTitle] [Root.Liege.GetFirstName] que te nombre regente en lugar de [Root.PlotTarget.GetTitledFirstName].;;;;;;;;;x
ambition_nominate_regent_decision;Petition to be Made Regent;Pétition pour devenir régent(e);;;Petición para convertirse en regente;;;;;;;;;x
ambition_nominate_regent_decision_desc;[Root.Liege.GetTitle] [Root.Liege.GetFirstName] currently has no designated regent should the realm need it, you can send a petition to [Root.Liege.GetHerHim] to be named in this position.;[Root.Liege.GetTitle] [Root.Liege.GetFirstName] n'a pour le moment pas désigné de régent si le royaume devait en avoir besoin, vous pouvez lui envoyer une pétition demandant à être nommé à cette position.;;;[Root.Liege.GetTitle] [Root.Liege.GetFirstName] no ha designado ningún regente en caso de que el Reino lo necesite, puedes enviarle una petición para que te nombre en esa posición.;;;;;;;;;x
EVTTOOLTIPregency.17;will consider your petition to be made designated regent;va considérer votre demande d'être fait(e) régent(e) désigné(e);;;considerará tu petición de ser designado regente;;;;;;;;;x
plot_replace_regent_duel;Duel [Root.PlotTarget.GetTitledFirstName] for the Regency;Provoquer en duel [Root.PlotTarget.GetTitledFirstName] pour la régence.;;;Desafiar a [Root.PlotTarget.GetTitledFirstName] por la regencia.;;;;;;;;;x
plot_replace_regent_duel_desc;[Root.PlotTarget.GetTitledFirstName] is still regent for [Root.Liege.GetTitle] [Root.Liege.GetFirstName], I should challenge [Root.PlotTarget.GetHerHim] to a duel to decide who is most worthy for this position.;[Root.PlotTarget.GetTitledFirstName] est toujours le(a) régent(e) de(u-e la) [Root.Liege.GetTitle] [Root.Liege.GetFirstName], je devrais le(a) provoquer en duel pour décider qui de nous deux est digne de cette position.;;;[Root.PlotTarget.GetTitledFirstName] es el regente del [Root.Liege.GetTitle] [Root.Liege.GetFirstName], debería desafiarle a un duelo para decidir quien es más digno de esa posición.;;;;;;;;;x
plot_replace_regent_plead_case;Plead Case for Regency;Plaider son cas pour ma régence;;;Pleitear para ser nombrado regente;;;;;;;;;x
plot_replace_regent_plead_case_desc;[Root.PlotTarget.GetTitledFirstName] is clearly an unsuitable regent for [Root.Liege.GetTitle] [Root.Liege.GetFirstName], with enough support you can plead your case to made regent in [Root.PlotTarget.GetHerHis] place openly before the court.;[Root.PlotTarget.GetTitledFirstName] est clairement un(e) mauvais(e) régent(e) pour le(a) [Root.Liege.GetTitle] [Root.Liege.GetFirstName], avec assez de soutiens vous pouvez plaider contre le(a) régent(e) devant un tribunal.;;;[Root.PlotTarget.GetTitledFirstName] es claramente un mal regente para el [Root.Liege.GetTitle] [Root.Liege.GetFirstName], con apoyo suficiente puedes pleitear contra el regente ante un tribunal.;;;;;;;;;x
plot_replace_regent_ultimatum;Issue [Root.PlotTarget.GetTitledFirstName] an Ultimatum;Envoyer un ultimatum à [Root.PlotTarget.GetTitledFirstName];;;Enviar un ultimátum a [Root.PlotTarget.GetTitledFirstName];;;;;;;;;x
plot_replace_regent_ultimatum_desc;Military force is always a sure way to end an unsuitable regent, you can issue an ultimatum to [Root.PlotTarget.GetTitledFirstName] to step aside as regent for [Root.Liege.GetTitle] [Root.Liege.GetFirstName], or face the consequences.;La force militaire est toujours un moyen efficace pour mettre fin aux méfaits d'un(e) régent(e), vous pouvez envoyer un ultimatum à [Root.PlotTarget.GetTitledFirstName] lui intimant d'abandonner la régence pour le(a) [Root.Liege.GetTitle] [Root.Liege.GetFirstName], ou d'assumer les conséquences d'un refus. ;;;La fuerza militar siempre es un medio eficaz para poner fin a las malas acciones de un regente, puedes enviar un ultimátum a [Root.PlotTarget.GetTitledFirstName] intimidándolo para que abandone la regencia del [Root.Liege.GetTitle] [Root.Liege.GetFirstName], o asumir las consecuencias. ;;;;;;;;;x
EVTTOOLTIPregency.20;An ultimatum demanding [Root.PlotTarget.GetTitledFirstName] step aside as regent is issued;Un ultimatum exigeant la fin de la régence de [Root.PlotTarget.GetTitledFirstName] est envoyé;;;Se ha enviado un ultimátum exigiendo el fin de la regencia de [Root.PlotTarget.GetTitledFirstName] ;;;;;;;;;x
EVTDESCregency.2;The mighty [From.GetFirstName] is clearly an inspired choice for the regency in case my virtuous rule come to end. All shall obey [From.GetHerHis] wishes, and all those that oppose [From.GetHerHim] shall cower before [From.GetHerHis] dragonfire!;Le(a) puissant(e) [From.GetFirstName] est clairement le choix idéal pour la régence au cas où mon règne vertueux venait à prendre fin. Tous doivent obéir à ses souhaits, et ceux qui s'opposent à lui(elle) devront subir le feudragon !;;;El poderoso [From.GetFirstName] es claramente la elección ideal para la regencia en caso de que mi virtuoso reinado llegue a su fin. Todos deben obedecer a sus deseos, y quien se oponga a él deberá someterse al fuego de dragón!;;;;;;;;;x
EVTOPTAregency.2;I sometimes surprise myself with my ideas;Parfois je me surprend moi-même par mes idées de génie.;;;A veces me sorprendo a mi mismo con mis brillantes ideas;;;;;;;;;x
TOOLTIPregency.2;The realm will be informed of your decision;Le royaume sera informé de votre décision.;;;El Reino será informado de tu decisión;;;;;;;;;x
EVTDESCregency.3;To all my bannermen, these past months I have been considering who should rule in my place should my mighty house need the protection of a regent, and I have decided that none would be more suitable than the dragon [FromFrom.GetFirstName]. In the event of a regency I command you to all obey [FromFrom.GetHerHis] wishes, else be bathed in [FromFrom.GetHerHis] dragonfire.\nSigned\n[From.GetTitledFirstName] of House [From.GetOnlyDynastyName];A tous mes bannerets, ces derniers mois j'ai réfléchi à la personne qui devrait gouverner à ma place si ma puissante maison venait à avoir besoin de la protection d'un régent, et j'ai décidé que personne ne pourrait être plus apte que le dragon [FromFrom.GetFirstName]. Lors d'une régence, je vous ordonne d'obéir à ses souhaits, ou vous devrez souffrir du feudragon.\nSigné\n[From.GetTitledFirstName] de la maison [From.GetOnlyDynastyName];;;A todos mis vasallos, estos últimos meses he estado reflexionando sobre quien debería gobernar en mi lugar si mi poderosa casa necesitara la protección de un regente, y he decidido que nadie sería más adecuado que el dragón [FromFrom.GetFirstName]. Durante una regencia, os ordeno obedecer a sus deseos, o deberéis sufrir el fuego de dragón.\nFirmado\n[From.GetTitledFirstName] de la casa [From.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAregency.3;What?;Quoi ?;;;Qué?;;;;;;;;;x
EVTDESCregency.4;Whilst [From.GetFirstName] may make a good regent should it be needed, many will resent being under the rule of a slave;Bien que [From.GetFirstName] puisse faire un(e) bon(ne) régent(e) si la situation venait à en nécessiter un, nombre de personnes n'apprécieront pas d'être gourvernés par un(e) esclave.;;;A pesar de que [From.GetFirstName] pueda ser un buen regente si la situación lo exigiera, numerosas personas no apreciarán ser gobernadas por un esclavo.;;;;;;;;;x
EVTDESCregency.8;[Root.PrimaryTitle.GetFOA], I am concerned that [From.PlotTarget.GetTitledFirstName] has been designated as regent should it be needed, I am worried [From.PlotTarget.GetSheHe] would be unsuitable and would divide the realm. My supporters and I ask that you remove this honour from [From.PlotTarget.GetHerHim] at once, and appoint me as regent in [From.PlotTarget.GetHerHis] stead.\nSigned,\n[From.GetTitledFirstName] of the House [From.GetOnlyDynastyName];[Root.PrimaryTitle.GetFOA], je suis très inquiet du le fait que [From.PlotTarget.GetTitledFirstName] a été désigné(e) comme régent(e) si la situation venait à l'exiger, je pense qu'[From.PlotTarget.GetSheHe] en est incapable et que cela diviserait le royaume. Mes soutiens et moi-même demandons que vous enleviez cet honneur à [From.PlotTarget.GetHerHim] et que vous me nommiez régent à sa place.\nSigné,\n[From.GetTitledFirstName] de la maison [From.GetOnlyDynastyName];;;[Root.PrimaryTitle.GetFOA], me preocupa el hecho de que [From.PlotTarget.GetTitledFirstName] haya sido designado como regente en caso de que la situación lo exiga, creo que [From.PlotTarget.GetSheHe] no está capacitado y eso dividirá el Reino. Mis seguidores y yo mismo demandamos que retiréis este honor a [From.PlotTarget.GetHerHim] y que me nombréis regente en su lugar.\nFirmado,\n[From.GetTitledFirstName] de la casa [From.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAregency.8;You make a good point, I accept;Vous avez raison, j'accepte.;;;Tenéis razón, acepto.;;;;;;;;;x
opinion_removed_designated_regent;Removed me as Designated Regent;M'a démis de la la position de régent;;;Me despidió de la posición de regente designado.;;;;;;;;;x
EVTOPTBregency.8;No, [From.PlotTarget.GetTitledFirstName] will make a fine regent;Non, [From.PlotTarget.GetTitledFirstName] sera un(e) bon(ne) régent(e);;;No, [From.PlotTarget.GetTitledFirstName] será un buen regente;;;;;;;;;x
opinion_refused_regent;Refused to Designate me as Regent;A refusé de me désigner comme régent;;;Ha rechazado designarme como regente;;;;;;;;;x
EVTDESCregency.9;[Root.GetBestName],\nYour demands are just. I hereby name you designated regent of [From.PrimaryTitle.GetName].\nSigned,\n[From.GetFirstName] of the House [From.GetOnlyDynastyName], the [From.GetRegnalOrdinal] of [From.GetHerHis] name, [From.GetTitle] of [From.PrimaryTitle.GetName];[Root.GetBestName],\nVotre demande est justifiée. Par la présente je vous nomme régent(e) de [From.PrimaryTitle.GetName].\nSigné,\n[From.GetFirstName] de la Maison [From.GetOnlyDynastyName], [From.GetTitle] de [From.GetOnlyDynastyName], [From.GetRegnalOrdinal] de son nom, [From.GetTitle] de [From.PrimaryTitle.GetName];;;;;;;;;;;;x
EVTDESCregency.10;With your support, [FromFrom.GetBestName] has convinced [From.GetBestName] to appoint [FromFrom.GetHerHim] as designated regent of [From.PrimaryTitle.GetName].;Grâce à votre soutien, [FromFrom.GetBestName] a convaincu [From.GetBestName] de le(a) nommer régent(e) désigné(e) de [From.PrimaryTitle.GetName].;;;;;;;;;;;;x
EVTDESCregency.11;[Root.GetBestName],\nWhilst you may have made a good protector of this land, I'm afraid there are others who would make a better regent. I am hereby naming [FromFrom.GetBestName] as my new designated regent.\nSigned,\n[From.GetFirstName] of the House [From.GetOnlyDynastyName], the [From.GetRegnalOrdinal] of [From.GetHerHis] name, [From.GetTitle] of [From.PrimaryTitle.GetName];[Root.GetBestName],\nBien que vous ayez été un(e) bon(ne) protecteur(trice) pour ces terres, je crains que d'autres feraient de meilleurs régents. Par la présente je nomme  [FromFrom.GetBestName] comme mon(a) nouveau(velle) régent(e) désigné(e).\nSigné,\n[From.GetFirstName] de la Maison [From.GetOnlyDynastyName], [From.GetTitle] de [From.GetOnlyDynastyName], [From.GetRegnalOrdinal] de son nom, [From.GetTitle] de [From.PrimaryTitle.GetName];;;;;;;;;;;;x
EVTDESCregency.12;Thanks to a conspiracy led by [FromFrom.GetBestName], [From.GetBestName] has betrayed your trust and removed [FromFrom.PlotTarget.GetBestName] from [From.GetHerHis] position as designated regent!;Grâce à une conspiration menée par [FromFrom.GetBestName], [From.GetBestName] a trahi votre vœu et démi [FromFrom.PlotTarget.GetBestName] de sa position en tant que régent(e) désigné(e) !;;;;;;;;;;;;x
EVTDESCregency.13;[Root.GetBestName],\nI am afraid that I must reject your demands. [Root.PlotTarget.GetBestName] has served the realm loyally and well, and will make a trustworthy regent for this realm. Do not bring this issue before me again.\nSigned,\n[From.GetFirstName] of the House [From.GetOnlyDynastyName], , the [From.GetRegnalOrdinal] of [From.GetHerHis] name[From.GetTitle] of [From.PrimaryTitle.GetName];[Root.GetBestName],\nJe crains de devoir rejeter votre demande. [Root.PlotTarget.GetBestName] a loyalement et bien servi le royaume, et fera un(e) régent(e) parfait(e). Ne me parlez plus de cette affaire.\nSigné,\n[From.GetFirstName] de la Maison [From.GetOnlyDynastyName], [From.GetTitle] de [From.GetOnlyDynastyName], [From.GetRegnalOrdinal] de son nom, [From.GetTitle] de [From.PrimaryTitle.GetName];;;;;;;;;;;;x
EVTDESCregency.14;Despite your counsel, [From.GetBestName] refused to see reason, and has refused to appoint [FromFrom.GetBestName] as [From.GetHerHis] designated regent!;Malgré vos conseils, [From.GetBestName] a refusé d'entendre raison et n'a pas accepté de nommer [FromFrom.GetBestName] comme régent(e) désigné(e) !;;;;;;;;;;;;x
EVTDESCregency.15;[Root.GetBestName],\nAs you have doubtless heard, [FromFrom.GetBestName] has conspired among the lords of the realm in an attempt to usurp your rightful place as my designated regent. I have, of course, rejected [FromFrom.GetHerHis] absurd demands.\nSigned,\n[From.GetFirstName] of the House [From.GetOnlyDynastyName], the [From.GetRegnalOrdinal] of [From.GetHerHis] name, [From.GetTitle] of [From.PrimaryTitle.GetName];[Root.GetBestName],\nComme vous l'avez sans doute déjà appris, [FromFrom.GetBestName] a conspiré avec les lords du royaume dans le but d'usurper votre légitime place en tant que régent(e) désigné(e). J'ai bien entendu rejeté son absurde demande.\nSigné,\n[From.GetFirstName] de la Maison [From.GetOnlyDynastyName], [From.GetTitle] de [From.GetOnlyDynastyName], [From.GetRegnalOrdinal] de son nom, [From.GetTitle] de [From.PrimaryTitle.GetName];;;;;;;;;;;;x
EVTDESCregency.16;Treachery! A conspiracy led by [FromFrom.GetBestName] tried to have [FromFrom.PlotTarget.GetBestName] removed from [From.GetHerHis] rightful place as designated regent. Fortunately, [From.GetBestName] was too wise to fall for their honeyed words, and [FromFrom.PlotTarget.GetSheHe] remains in office.;Trahison ! Une conspiration menée par [FromFrom.GetBestName] a tenté de démettre [FromFrom.PlotTarget.GetBestName] de sa légitime position de régent(e) désigné(e). Heureusement, [From.GetBestName] était trop sage pour prêter attention à leurs perfides conseils, et [FromFrom.PlotTarget.GetSheHe] conserve sa position.;;;Traición! Una conspiración dirigida por [FromFrom.GetBestName] ha intentado despojar a [FromFrom.PlotTarget.GetBestName] de su legítima posición deregente designado. Afortunadamente, [From.GetBestName] ha sido lo bastante sabio para no prestar atención a sus pérfidos consejos, y [FromFrom.PlotTarget.GetSheHe] conserva su posición.;;;;;;;;;x
EVTDESCregency.17;[Root.PrimaryTitle.GetFOA], It has come to my attention that nobody has been designated as regent for [Root.PrimaryTitle.GetName] should the realm need it. Needless to say this is a perilous position, as surely squabble and rivalry will emerge without clear leadership. I humbly petition you name me as designated regent to avoid this sort of trouble.\nSigned,\n[From.GetTitledFirstName] of the House [From.GetOnlyDynastyName];[Root.PrimaryTitle.GetFOA], il est venu à mon attention que personne n'a été désigné comme régent de [Root.PrimaryTitle.GetName] au cas où la situation l'exigerait. Il est inutile de dire que cette situation est dangereuse, les rivalités et conflits risquent d'éclater si une régence venait à être mise en place. Je vous demande humblement de me désigner en tant que régent(e) pour empêcher ces troubles.\nSigné,\n[From.GetTitledFirstName] de la maison [From.GetOnlyDynastyName];;;[Root.PrimaryTitle.GetFOA], me ha llamado la atención que nadie haya sido designado como regente de [Root.PrimaryTitle.GetName] en el caso de que la situación lo exigiera. Es inútil decir que esta situación es peligrosa, las rivalidades y conflictos estallarán si una si se estableciese una regencia. Os pido humildemente designarme como regente para evitar esos problemas.\nFirmado,\n[From.GetTitledFirstName] de la casa [From.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAregency.17;A fine proposal, I will see it done;Une bonne proposition, qu'il en soit ainsi.;;;Una buena propuesta, que así sea.;;;;;;;;;x
EVTOPTBregency.17;An absurd proposition;Une proposition des plus absurdes.;;;Una propuesta absurda.;;;;;;;;;x
EVTDESCregency.18;[Root.GetBestName],\nI find your concerns valid, and agree a regent needs to be designated. So I hereby name you designated regent of [From.PrimaryTitle.GetName].\n\nSigned,\n[From.GetFirstName] of the House [From.GetOnlyDynastyName], the [From.GetRegnalOrdinal] of [From.GetHerHis] name, [From.GetTitle] of [From.PrimaryTitle.GetName];[Root.GetBestName],\nJe trouve vos craintes justifiées et pense qu'un régent doit être nommé. Aussi, par la présente, je vous désigne comme régent(e) de [From.PrimaryTitle.GetName].\n\nSigné,\n[From.GetFirstName] de la Maison [From.GetOnlyDynastyName], [From.GetTitle] de [From.GetOnlyDynastyName], [From.GetRegnalOrdinal] de son nom, [From.GetTitle] de [From.PrimaryTitle.GetName];;;;;;;;;;;;x
EVTOPTAregency.18;Thank you [From.PrimaryTitle.GetFOA];Merci [From.PrimaryTitle.GetFOA];;;Gracias [From.PrimaryTitle.GetFOA];;;;;;;;;x
EVTDESCregency.19;[Root.GetBestName],\nI see no need to designate a regent for the realm at this time, I'm sure House [From.GetOnlyDynastyName] will be abe to solely govern for a long time to come. I urge you not to bring this up again.\nSigned,\n[From.GetFirstName] of the House [From.GetOnlyDynastyName], the [From.GetRegnalOrdinal] of [From.GetHerHis] name, [From.GetTitle] of [From.PrimaryTitle.GetName];[Root.GetBestName],\nJe ne ressens pas le besoin de désigner un régent en ce moment, je suis sûr que la maison [From.GetOnlyDynastyName] sera capable de gouverner seule pendant encore de longues années. J'exige que vous ne me parliez plus jamais de cette affaire.\nSigné,\n[From.GetFirstName] de la Maison [From.GetOnlyDynastyName], [From.GetTitle] de [From.GetOnlyDynastyName], [From.GetRegnalOrdinal] de son nom, [From.GetTitle] de [From.PrimaryTitle.GetName];;;;;;;;;;;;x
EVTOPTAregency.19;Turmoil will now surely come;Les troubles finiront par éclater.;;;Los problemas acabarán por estallar.;;;;;;;;;x
EVTDESCregency.20;[Root.GetBestName],\nYour period of misrule of [Root.Liege.PrimaryTitle.GetName] in the name of the noble [Root.Liege.GetTitle] [Root.Liege.GetFirstName] is at an end. I demand that you peacefully stand aside and let me assume the position of regent, else suffer the wroth of me and my supporters.\nSigned,\n[From.GetFirstName] of the House [From.GetOnlyDynastyName], [From.GetTitle] of [From.PrimaryTitle.GetName];[Root.GetBestName],\nVotre période de mauvaise gouvernance de [Root.Liege.PrimaryTitle.GetName] au nom du(e la) noble [Root.Liege.GetTitle] [Root.Liege.GetFirstName] est terminée. J'exige que vous résigniez pacifiquement votre position et me laissiez assurer la régence, ou vous devrez affronter ma colère et celle de mes soutiens.\nSigné,\n[From.GetFirstName] de la maison [From.GetOnlyDynastyName], [From.GetTitle] de [From.PrimaryTitle.GetName];;;[Root.GetBestName],\nVuestro periodo de mal gobierno de [Root.Liege.PrimaryTitle.GetName] en nombre del noble [Root.Liege.GetTitle] [Root.Liege.GetFirstName] ha terminado. Exijo que renunciéis pacíficamente de vuestra posición y me permitáis asumir la regencia, o deberéis enfrentaros a mi cólera.\nFirmado,\n[From.GetFirstName] de la casa [From.GetOnlyDynastyName], [From.GetTitle] de [From.PrimaryTitle.GetName];;;;;;;;;x
EVTOPTAregency.20;I have no choice but to stand down;Je n'ai d'autres choix que de me soumettre.;;;No tengo más remedio que someterme.;;;;;;;;;x
EVTOPTBregency.20;I will never surrender [Root.Liege.GetTitle] [Root.Liege.GetFirstName] to them!;Je ne leur donnerai jamais le(a) [Root.Liege.GetTitle] [Root.Liege.GetFirstName] !;;;Nunca les daré el [Root.Liege.GetTitle] [Root.Liege.GetFirstName]!;;;;;;;;;x
EVTTOOLTIPregency.21;[This.GetTitledFirstName] will assume the regency;[This.GetTitledFirstName] va assumer la régence.;;;[This.GetTitledFirstName] asumirá la regencia.;;;;;;;;;x
EVTTOOLTIPregency.24;War between [This.GetTitledFirstName]'s loyalists and [From.GetTitledFirstName]'s rebels will begin;La guerre entre les loyalistes à [This.GetTitledFirstName] et les rebelles de [From.GetTitledFirstName] va commencer;;;La guerra entre los lealistas de [This.GetTitledFirstName] y los rebeldes de [From.GetTitledFirstName] empezará;;;;;;;;;x
plot_replace_regent_cb;War for the Regency;Guerre de la régence;;;Guerra por la Regencia;;;;;;;;;x
plot_replace_regent_cb_desc;$CLAIMANT$ believes that $TARGET$'s current regent is unsuitable, and that they should be regent instead.;$CLAIMANT$ pense que le régent de $TARGET$ ne convient pas et qu'il devrait obtenir la régence.;;;$CLAIMANT$ piensa que el regente actual de $TARGET$ no es el adecuado y que él debería serlo en su lugar.;;;;;;;;;x
CB_NAME_REPLACE_REGENT;War for the Regency;Guerre de la régence;;;Guerra por la regencia;;;;;;;;;x
WAR_NAME_REPLACE_REGENT;$CLAIMANT$'s $ORDER$ War for the Regency of $DEFENDER$;$ORDER$ War de $CLAIMANT$ pour la régence de $DEFENDER$;;;$ORDER$ Guerra de $CLAIMANT$ por la regencia de $DEFENDER$;;;;;;;;;x
