#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCwarlock.0;A thin and pale Warlock with blue lips approaches me and speaks of the powers that the Warlocks of Qarth possess.;Un Conjurateur au teint pâle et aux lèvres bleues m'approche et me parle du pouvoir des conjurateurs de Qarth. ;;;Un brujo delgado y pálido con los labios azules se me acerca y me habla de los poderes que los brujos de Qarth poseen.;;;;;;;;;x;x
EVTOPTAwarlock.0;I shall embrace this new religion!;Je devrais embrasser cette nouvelle religion !;;;Voy a abrazar esta nueva religión!;;;;;;;;;x;
EVTOPTBwarlock.0;Have this heretic jailed!;Jetez cet hérétique au cachot !;;;Haga que encarcelen a este hereje!;;;;;;;;;x;
EVTOPTCwarlock.0;How boring;Que c'est ennuyant;;;Qué aburrido;;;;;;;;;x;
EVTDESCwarlock.1;Making an offering to the Warlocks at the House of the Undying, can win their favor and be quite useful.;Faire une offre aux Conjurateurs à l'hôtel des Nonmourants peut nous faire gagner leur faveur. ;;;Hacer una ofrenda a los brujos en la Casa de los Eternos, puede hacernos ganar su favor.;;;;;;;;;x;
EVTOPTAwarlock.1;Pay them the gold;Payer le prix.;;;Pagadles el oro.;;;;;;;;;x;
EVTOPTBwarlock.1;On second thoughts no;A la réflexion, non;;;Pensándolo mejor, no;;;;;;;;;x;
EVTDESCwarlock.2;Your plot to [Root.GetPlot] has succeeded but had no effect. Your spies report that [From.GetHeShe] was saved by Warlock magic at the behest of [From.GetHeShe].;Votre complot pour [Root.GetPlot] a réussi mais n'a eu aucun effet. Vos espions vous rapportent qu'[From.GetHeShe] a été sauvé(e) par la magie des Conjurateurs qui ont agi sur son ordre. ;;;Su plan para [Root.GetPlot] ha tenido éxito pero no tuvo efecto. Tus espías informan que [From.GetHeShe] se salvó por brujería a instancias de [From.GetHeShe].;;;;;;;;;x;
EVTOPTAwarlock.2;What nonsense!;C'est impossible !;;;¡Qué tontería!;;;;;;;;;x;
EVTOPTBwarlock.2;With a loud gasp of breath you rise to your feet back from the dead. You have avoided death!;Vous ouvrez brusquement les yeux avant de vous redresser, pris(e) de panique et haletant. Vous avez vaincu la mort !;;;Con un fuerte jadeo para respirar te levantas de entre los muertos. Has evitado la muerte!;;;;;;;;;x;
EVTDESCwarlock.3;At the request of [FROM.GetBestName] I have drunk the Shade of the Evening and recieved visions of many things, including the plots of my enemies.;A la demande de [FROM.GetBestName] j'ai bu l'Ombre-du-soir et j'ai eu de nombreuses visions, dont certaines concernaient les complots de mes ennemis.;;;A petición de [FROM.GetBestName]he bebido color-del-ocaso y he tenido numerosas visiones, incluyendo los complots de mis enemigos.;;;;;;;;;x;
EVTOPTAwarlock.3;The Warlocks are indeed powerful;Les Conjurateurs sont véritablement puissants.;;;Los brujos son realmente poderosos;;;;;;;;;x;
EVTOPTBwarlock.3;Thanks, but I don't believe it.;Merci, mais je n'y crois pas.;;;Gracias, pero yo no lo creo.;;;;;;;;;x;
EVTDESCwarlock.4;[From.GetFirstName] [From.GetOnlyDynastyName] has paid the Warlocks to cast a spell in order to grant me protection from Battle.;[From.GetFirstName] [From.GetOnlyDynastyName] a payé les Conjurateurs pour qu'ils me lancent un sort capable de me protéger durant la bataille.;;;[From.GetFirstName] [From.GetOnlyDynastyName] ha pagado a los brujos para que lancen un hechizo que me proteja en la batalla.;;;;;;;;;x;
EVTDESCwarlock.5;[From.GetFirstName] [From.GetOnlyDynastyName] approaches me and asks if I would like my ailments cured.;[From.GetFirstName] [From.GetOnlyDynastyName] s'approche de moi et me demande si je voudrais guérir de mes maladies.;;;[From.GetFirstName] [From.GetOnlyDynastyName] se me acerca y me pregunta si quiero que mis dolencias sean curadas.;;;;;;;;;x;
EVTOPTAwarlock.5;If the Warlocks can do that, they must be powerful indeed.;Si les Conjurateurs peuvent faire ça, alors ils ont vraiment un grand pouvoir.;;;Si los brujos pueden hacer eso, han de ser poderosos.;;;;;;;;;x;
EVTOPTBwarlock.5;No, this is a mummers farce. Get lost.;Non, les tours de passe-passe, très peu pour moi. Allez vous faire voir.;;;No, esto es una pantomima. Piérdete.;;;;;;;;;x;
EVTDESCwarlock.6;[From.GetFirstName] [From.GetOnlyDynastyName] approaches me and asks if I would like my ailments and disfigurements cured.;[From.GetFirstName] [From.GetOnlyDynastyName] s'approche de moi et me demande si je voudrais guérir de mes maladies et de mes défigurements;;;[From.GetFirstName] [From.GetOnlyDynastyName] se me acerca y me pregunta si quiero que mis dolencias, lesiones y malformaciones sean curadas.;;;;;;;;;x;
EVTDESCwarlock.7;The thin pale Warlock brought forth a large Aurochs and proceeded to spill it's blood upon the floor, all the while chanting a dark encantation in a strange tounge.;Le Conjurateur au teint pâle a amené avec lui un gigantesque aurochs dont il répand le sang sur le sol, tout en entonnant une sombre incantation dans une langue étrange.;;;El delgado y pálido brujo trajo un gran Uro y derramó su sangre en el suelo, mientras entonaba una melodía oscura en un idioma extraño.;;;;;;;;;x;
EVTOPTAwarlock.7;[From.GetFirstName] [From.GetOnlyDynastyName] has been healed by the magics of the Warlocks;[From.GetFirstName] [From.GetOnlyDynastyName] a été soigné(e) par la magie des Conjurateurs. ;;;[From.GetFirstName] [From.GetOnlyDynastyName] ha sido curado por la magia de los brujos;;;;;;;;;x;
EVTDESCwarlock.8;In days long gone the Warlocks of Qarth were feared and respected across the known world for their powers.  However those powers and the fear they brought have diminshed in recent years.  To many people now, the Blue Shadows are no more then mummers and conjurers.;Il fut un temps où les Conjurateurs de Qarth étaient craints et respectés dans le monde entier pour leurs pouvoirs. Cependant, ces pouvoirs et cette crainte ont décliné depuis. Pour de nombreuses personnes désormais, les Conjurateurs ne sont plus que des charlatans et des comploteurs.;;;Hubo un tiempo en que los brujos de Qarth eran temidos y respetados en todo el mundo por sus poderes. Sin embargo, su poder ha disminuido mucho en los últimos años. Para muchos, los brujos no son más que charlatanes e ilusionistas.;;;;;;;;;x;
EVTOPTAwarlock.8;[From.GetFirstName] [From.GetOnlyDynastyName] has refused the aid of the Warlocks and has not been healed.;[From.GetFirstName] [From.GetOnlyDynastyName] a refusé l'aide des Conjurateurs et n'a pas été soigné.;;;[From.GetFirstName] [From.GetOnlyDynastyName] ha rechazado la ayuda de los brujos y no ha sido sanado.;;;;;;;;;x;
CUSTOMTOOLTIPwarlock_saved_me;This option is available to you because a sacrifice was made for your protection.;Cette option est disponible pour vous parce qu'un sacrifice a été fait pour votre protection.;;;Esta opción está disponible, porque se hizo un sacrificio para tu protección.;;;;;;;;;x;
warlock_protection_plot;Protect [Root.GetFirstName] [Root.GetOnlyDynastyName] from plots.;Protéger [Root.GetFirstName] [Root.GetOnlyDynastyName] des complots. ;;;Protege a [Root.GetFirstName] [Root.GetOnlyDynastyName] de complots.;;;;;;;;;x;
warlock_protection_plot_desc;You may command the Warlocks to protect this person from murder plots,;Vous pouvez demander aux Conjurateurs de protéger cette personne contre des complots visant à attenter à sa vie.;;;Ordena a los brujos que protejan a esta persona contra planes de asesinato.;;;;;;;;;x;
warlock_protection_battle;Protect [Root.GetFirstName] [Root.GetOnlyDynastyName] in battle.;Protéger [Root.GetFirstName] [Root.GetOnlyDynastyName] durant la bataille.;;;Protege a [Root.GetFirstName] [Root.GetOnlyDynastyName] en las batallas.;;;;;;;;;x;
warlock_protection_battle_desc;You may command the Warlocks to protect this person in battle.;Vous pouvez demander aux Conjurateurs de protéger cette personne durant la bataille.;;;Ordena a los brujos que protejan a esta persona en las batallas.;;;;;;;;;x;
warlock_heal_basic;Cure Ailments;Guérir les maladies;;;Cura a  [Root.GetFirstName] [Root.GetOnlyDynastyName] de sus dolencias.;;;;;;;;;x;
warlock_heal_basic_desc;The Warlocks may be able heal this person from injury and disease.;Les Conjurateurs peuvent soigner les maladies et les blessures de cette personne.;;;Los Brujos curarán a esta persona de lesiones y enfermedades.;;;;;;;;;x;
warlock_heal_chosen;Cure Malformation;Faire disparaître les malformations;;;Cura [Root.GetFirstName] [Root.GetOnlyDynastyName] de sus malformaciones.;;;;;;;;;x;
warlock_heal_chosen_desc;The Warlocks may be able to heal this person from disfigurement.;Les Conjurateurs peuvent soigner les personnes défigurées ;;;Los Brujos curarán a esta persona de la desfiguración.;;;;;;;;;x;
warlock_protection_plot_self;Protect yourself from plots.;Vous protéger des complots.;;;Protégete de los complots.;;;;;;;;;x;
warlock_protection_plot_self_desc;You may use the Warlocks to protect yourself from murder plots,;Vous pouvez utiliser les Conjurateurs pour vous protéger des complots visant à vous assassiner.;;;Utiliza a los brujos para protegerte de complots de asesinato.;;;;;;;;;x;
warlock_protection_battle_self;Protect yourself from battle.;Vous protéger durant la bataille.;;;Protégete en las batallas.;;;;;;;;;x;
warlock_protection_battle_self_desc;Command the Warlocks to protect yourself in battle.;Demander aux Conjurateurs de vous protéger durant la bataille.;;;Pedir a los brujos que te protejan en las batallas.;;;;;;;;;x;
warlock_heal_basic_self;Cure Yourself of Ailments;Vous guérir de vos maladies;;;Curarte tus enfermedades.;;;;;;;;;x;
warlock_heal_basic_self_desc;The warlocks may be able to heal your injury and diseases.;Les Conjurateurs peuvent soigner vos blessures et vos maladies.;;;Los Brujos pueden curar su lesión y enfermedades.;;;;;;;;;x;
warlock_heal_chosen_self;Cure Your Malformations;Faire disparaître vos malformations;;;Curar tus malformaciones.;;;;;;;;;x;
warlock_heal_chosen__selfdesc;The Warlocks may be able to heal your disfigurements.;Les Conjurateurs peuvent soigner les personnes défigurées;;;Los Brujos pueden curar tus malformaciones.;;;;;;;;;x;
warlock_shade_evening;Drink Shade of the Evening;Boire l'Ombre-du-soir;;;;;;;;;;;;x;
warlock_shade_evening_desc;Drink Shade of the Evening to try and recieve visions of the many dangers to you or your kin. ;Boire l'Ombre-du-soir pour recevoir des visions sur les dangers qui vous guettent, vous et vos parents.;;;Beber Color del ocaso para recibir visiones de muchos peligros hacia usted o para su familia.;;;;;;;;;x;
CUSTOMTOOLTIPdiseasecureallow;You have payed the Warlocks and have made a sacrifice.;Vous avez payé les Conjurateurs et avez fait un sacrifice.;;;Has pagado a los brujos y has hecho un sacrificio.;;;;;;;;;x;
CUSTOMTOOLTIPdeformedcureallow;You have payed the Warlocks and have made a sacrifice.;Vous avez payé les Conjurateurs et avez fait un sacrifice.;;;Has pagado a los brujos y has hecho un sacrificio.;;;;;;;;;x;
CUSTOMTOOLTIPwarlock_nosacrafice;This does not count as a sacrifice to R'hllor.;Cela ne compte pas comme un sacrifice à R'hllor.;;;Esto no cuenta como un sacrificio a R'hllor.;;;;;;;;;x;
show_warlock;Show Warlock action list;Montrer la liste d'actions des Conjurateurs.;;;Mostrar lista de acciones de brujería;;;;;;;;;x;
show_warlock_desc;Opens the list of options.;Ouvrir la liste des options.;;;Abre la lista de opciones.;;;;;;;;;x;
hide_warlock;Hide Warlock action list;Cacher la liste d'actions des Conjurateurs.;;;Ocultar lista de acciones de brujería;;;;;;;;;x;
hide_warlock_desc;Closes the list of options.;Fermer la liste des options.;;;Cierra la lista de opciones.;;;;;;;;;x;
EVTDESCwarlock.9;Choose from the available list of interactions.;Choisir dans la liste des interactions disponibles.;;;Elija de la lista una interacción disponible.;;;;;;;;;x;
EVTOPTAwarlock.9;Protect [FROM.GetBestName] from Plots.;Protéger [FROM.GetBestName] des complots.;;;Protege a [FROM.GetBestName] de los complots.;;;;;;;;;x;
EVTOPTBwarlock.9;Protect [FROM.GetBestName] from Battle.;Protéger [FROM.GetBestName] durant la bataille.;;;Protege a [FROM.GetBestName] en las batallas.;;;;;;;;;x;
EVTOPTCwarlock.9;Heal [FROM.GetBestName]'s ailments.;Guérir les maladies de [FROM.GetBestName].;;;Cura a [FROM.GetBestName] sus dolencias.;;;;;;;;;x;
EVTOPTDwarlock.9;Heal [FROM.GetBestName] disfigurements and malformations.;Guérir les malformations et les défigurements de [FROM.GetBestName].;;;Cura a [FROM.GetBestName] de desfiguraciones y malformaciones.;;;;;;;;;x;
EVTOPTEwarlock.9;Nevermind;Laissez tomber.;;;No importa;;;;;;;;;x;
EVTOPTFwarlock.9;Warlock Interaction;Interaction des Conjurateurs;;;Interacción de los brujos.;;;;;;;;;x;
warlock_action;Warlock Action List;Liste d'actions des Conjurateurs;;;Lista de acciones de los brujos.;;;;;;;;;x;
warlock_action_desc;You have made a donation to the Warlocks, and so can take an action against [Root.GetTitle] [Root.GetFirstName] [Root.GetOnlyDynastyName].;Vous avez fait une donation aux Conjurateurs, et pouvez donc agir à l’encontre de [Root.GetTitle] [Root.GetFirstName] [Root.GetOnlyDynastyName].;;;Has hecho una donación a los brujos, de forma que podrán actuar contra [Root.GetTitle] [Root.GetFirstName] [Root.GetOnlyDynastyName].;;;;;;;;;x;
warlock_magic;Gifts to the Warlocks;Cadeaux aux Conjurateurs;;;Ofrenda a los brujos;;;;;;;;;x;
donate_money_to_warlocks;Donate to the Warlocks;Faire un don aux Conjurateurs;;;Donación a los brujos;;;;;;;;;x;
donate_money_to_warlocks_desc;You can make a donation to the Warlocks to gain favour with them and attempt to try and harness their magic.;Vous pouvez faire un don aux Conjurateurs pour gagner leurs faveurs et de tenter d'essayer de tirer parti de leur magie.;;;Puedes hacer una donación a los brujos para ganar su favor y tratar de aprovecharte de su magia.;;;;;;;;;x;
donation_to_warlocks;Donated to Warlocks;Donner aux Conjurateurs;;;;;;;;;;;;x;
